u,v,corridor,corridor_type,approx_edge_betweenness
1882266684,5292700111,Indigo Bay Roundabout,Named corridor,0.1570824847250509
5079806047,1639802274,A.T. Illidge Road,Named corridor,0.15698319755600815
1639802164,5081243471,Bush Road,Named corridor,0.15544042769857433
5092258956,4284485479,A.J.C. Brouwersweg,Named corridor,0.15410132382892056
4284485479,4284485480,A.J.C. Brouwersweg,Named corridor,0.1538060081466395
4284485480,271823355,A.J.C. Brouwersweg,Named corridor,0.15351069246435844
1882266709,271823298,A.J.C. Brouwersweg,Named corridor,0.15207230142566192
271823298,271823349,A.J.C. Brouwersweg,Named corridor,0.15184826883910385
271823355,4284485698,A.J.C. Brouwersweg,Named corridor,0.15124745417515273
4284485698,4284485708,A.J.C. Brouwersweg,Named corridor,0.15091649694501016
271823352,5092258956,A.J.C. Brouwersweg,Named corridor,0.15090376782077392
4284485708,4284485717,A.J.C. Brouwersweg,Named corridor,0.15076883910386965
4284485717,271823360,A.J.C. Brouwersweg,Named corridor,0.1506211812627291
4284485730,271823363,Crocus Road,Named corridor,0.14809317718940937
5081243471,4284485730,Unnamed / Living Street,Residual road group,0.1465987780040733
271823349,271823352,A.J.C. Brouwersweg,Named corridor,0.14604124236252544
5105174587,1109617127,A.T. Illidge Road,Named corridor,0.13042006109979631
1109617127,5327905185,A.T. Illidge Road,Named corridor,0.13008401221995927
5081243471,1639802164,Bush Road,Named corridor,0.130020366598778
5327905185,1109617065,A.T. Illidge Road,Named corridor,0.12997199592668024
1109617065,1639802221,A.T. Illidge Road,Named corridor,0.1297479633401222
1639802274,5079806047,A.T. Illidge Road,Named corridor,0.12815427698574336
5079806047,1639802246,A.T. Illidge Road,Named corridor,0.12792515274949082
1639802246,3656887991,A.T. Illidge Road,Named corridor,0.12747708757637474
3656887991,5105174587,A.T. Illidge Road,Named corridor,0.1272530549898167
4284485730,5081243471,Unnamed / Living Street,Residual road group,0.12112016293279022
1639802164,1639802172,Zagersgut Road,Named corridor,0.1189867617107943
271823363,4284485730,Crocus Road,Named corridor,0.11895875763747453
1639802172,2146379899,Zagersgut Road,Named corridor,0.11831975560081466
5318904038,250656101,Union Road,Named corridor,0.11787678207739306
2146379899,2669896558,Zagersgut Road,Named corridor,0.1175458248472505
250656101,1790494663,Union Road,Named corridor,0.11617617107942972
1790494663,3704167985,Union Road,Named corridor,0.11612525458248472
3704167985,5113616607,Union Road,Named corridor,0.11527494908350305
5113616607,2970143325,Union Road,Named corridor,0.11442464358452138
2970143325,5318904035,Union Road,Named corridor,0.11357433808553971
2669896558,2146379899,Zagersgut Road,Named corridor,0.11339358452138493
5318904035,5100220545,Union Road,Named corridor,0.11272403258655804
2146379899,1639802172,Zagersgut Road,Named corridor,0.11213085539714866
5100220545,5100220547,Union Road,Named corridor,0.11193482688391038
1639802172,1639802164,Zagersgut Road,Named corridor,0.1117795315682281
5100220547,4283348308,Union Road,Named corridor,0.11114562118126273
4283348308,303246974,Union Road,Named corridor,0.1095672097759674
1918592979,303239543,L.B. Scott Road,Named corridor,0.10750254582484724
303246974,1790494610,Union Road,Named corridor,0.10616853360488798
303239543,1918592979,L.B. Scott Road,Named corridor,0.1040427698574338
1790494610,4283348343,Union Road,Named corridor,0.10358706720977597
4283348343,303246941,Union Road,Named corridor,0.1027927698574338
1918592979,1918592984,L.B. Scott Road,Named corridor,0.10210794297352342
1033359888,4283347855,Osborne Kruythoff Roundabout,Named corridor,0.09908604887983706
1918592984,1918592979,L.B. Scott Road,Named corridor,0.09816955193482688
1790494663,250656101,Union Road,Named corridor,0.09703920570264765
250656101,5318904038,Union Road,Named corridor,0.09670315682281058
303246941,303247237,Union Road,Named corridor,0.09482688391038696
303246974,4283348308,Union Road,Named corridor,0.09459266802443991
4283348308,5100220547,Union Road,Named corridor,0.09413441955193481
5100220547,5100220545,Union Road,Named corridor,0.09390529531568227
5100220545,5318904035,Union Road,Named corridor,0.09367617107942973
5318904035,2970143325,Union Road,Named corridor,0.0935081466395112
2970143325,5113616607,Union Road,Named corridor,0.09334012219959266
5113616607,3704167985,Union Road,Named corridor,0.09317209775967412
3704167985,1790494663,Union Road,Named corridor,0.09300407331975559
1918592984,1918592982,L.B. Scott Road,Named corridor,0.09284623217922607
1918592982,3456873948,L.B. Scott Road,Named corridor,0.09191191446028513
303246941,4283348343,Union Road,Named corridor,0.09188136456211812
4283348343,1790494610,Union Road,Named corridor,0.09165733197556007
303247237,5081715704,Union Road,Named corridor,0.0915224032586558
5081715704,1947004273,Union Road,Named corridor,0.09119399185336048
1790494610,303246974,Union Road,Named corridor,0.09118380855397148
1918592982,1918592984,L.B. Scott Road,Named corridor,0.09112270875763746
3456873948,3456873952,L.B. Scott Road,Named corridor,0.09099032586558044
303247237,303246941,Union Road,Named corridor,0.0909826883910387
3456873952,4723309836,L.B. Scott Road,Named corridor,0.09006873727087576
4723309836,3994661891,L.B. Scott Road,Named corridor,0.08914714867617107
1967799965,1967799955,Welfare Road,Named corridor,0.08835794297352341
3994661891,1950775994,L.B. Scott Road,Named corridor,0.08822556008146638
1967799955,1927155345,Welfare Road,Named corridor,0.08817464358452137
1927155345,4283347855,Welfare Road,Named corridor,0.08811354378818737
1639802274,4284401626,Middle Region Road,Named corridor,0.08781059063136455
1947004273,303247201,Union Road,Named corridor,0.08756873727087576
1950775994,1918592978,L.B. Scott Road,Named corridor,0.0873090631364562
4284401626,271824177,Middle Region Road,Named corridor,0.08694501018329938
1918592978,1918592985,L.B. Scott Road,Named corridor,0.08639256619144603
271824177,3194084010,Middle Region Road,Named corridor,0.08615071283095722
303243190,303243569,Coralita Road,Named corridor,0.0857662932790224
303243569,2669896558,Coralita Road,Named corridor,0.08566955193482688
303247201,303246982,Union Road,Named corridor,0.08550661914460285
1918592985,1840729286,L.B. Scott Road,Named corridor,0.08547606924643585
3194084010,271824180,Middle Region Road,Named corridor,0.08535641547861507
1840729287,1840729286,L.B. Scott Road,Named corridor,0.08524949083503054
1840729286,1918592985,L.B. Scott Road,Named corridor,0.08514765784114052
1918592985,1918592978,L.B. Scott Road,Named corridor,0.0850458248472505
1918592978,1950775994,L.B. Scott Road,Named corridor,0.08494399185336049
1950775994,3994661891,L.B. Scott Road,Named corridor,0.08484215885947047
250656114,303246975,Welfare Road,Named corridor,0.0848294297352342
3994661891,4723309836,L.B. Scott Road,Named corridor,0.08474541751527494
4723309836,3456873952,L.B. Scott Road,Named corridor,0.08464867617107942
1840729286,1840729287,L.B. Scott Road,Named corridor,0.08455957230142566
3456873952,3456873948,L.B. Scott Road,Named corridor,0.0845519348268839
303246975,1967799972,Welfare Road,Named corridor,0.08446537678207738
3456873948,1918592982,L.B. Scott Road,Named corridor,0.08445519348268839
1967799972,1967799912,Welfare Road,Named corridor,0.08421079429735234
271824180,271824183,Middle Region Road,Named corridor,0.08417260692464358
1967799912,1967799965,Welfare Road,Named corridor,0.08408350305498981
271824160,271824163,Hulda B. Richardson Road,Named corridor,0.08306262729124236
271824183,271824187,Middle Region Road,Named corridor,0.0829938900203666
5106586184,5082484557,Middle Region Road,Named corridor,0.08290733197556008
5082484557,271824196,Middle Region Road,Named corridor,0.08285386965376781
5081715704,303247237,Union Road,Named corridor,0.08276476578411404
271824187,5106586184,Middle Region Road,Named corridor,0.08220977596741344
271824196,271824202,Middle Region Road,Named corridor,0.08210539714867617
303246982,250652604,Union Road,Named corridor,0.08188136456211813
271824202,4284401679,Middle Region Road,Named corridor,0.08184063136456211
4284401679,271824206,Middle Region Road,Named corridor,0.08110234215885946
271824206,271824207,Middle Region Road,Named corridor,0.08037423625254582
250652604,303246982,Union Road,Named corridor,0.07974032586558044
271824207,4284401900,Middle Region Road,Named corridor,0.07964613034623218
303246982,303247201,Union Road,Named corridor,0.07929226069246435
4284401900,271824212,Middle Region Road,Named corridor,0.07892820773930753
303247201,1947004273,Union Road,Named corridor,0.07890020366598778
1947004273,5081715704,Union Road,Named corridor,0.07845213849287169
271824212,5081546080,Middle Region Road,Named corridor,0.07750254582484725
271824163,1892258685,Hulda B. Richardson Road,Named corridor,0.07700356415478615
5081546080,5106010104,Middle Region Road,Named corridor,0.0767897148676171
5292668974,1927300993,Church Hill Roundabout,Named corridor,0.07670824847250508
271798678,271798681,Walter A. Nisbeth Road,Named corridor,0.07646130346232179
3657008827,271824217,Middle Region Road,Named corridor,0.07634164969450101
5106010104,271824215,Middle Region Road,Named corridor,0.07608197556008146
1639802274,5105174602,A.T. Illidge Road,Named corridor,0.0760386965376782
271824217,5106010107,Middle Region Road,Named corridor,0.07563391038696538
271798676,271798678,Walter A. Nisbeth Road,Named corridor,0.07558553971486762
271824215,3657008827,Middle Region Road,Named corridor,0.07537423625254581
5292542883,1918631564,Salt Pickers Roundabout,Named corridor,0.07530549898167006
1892258685,271824167,Hulda B. Richardson Road,Named corridor,0.07517566191446028
5105174602,4284401658,A.T. Illidge Road,Named corridor,0.07512219959266803
271824167,1840737733,Hulda B. Richardson Road,Named corridor,0.07510183299389002
5106010107,271824219,Middle Region Road,Named corridor,0.07493126272912423
271798682,271798683,Walter A. Nisbeth Road,Named corridor,0.0747988798370672
323003133,322994661,Walter A. Nisbeth Road,Named corridor,0.07471232179226069
1840737733,4284328380,Hulda B. Richardson Road,Named corridor,0.07422606924643584
4284401658,4284401672,A.T. Illidge Road,Named corridor,0.07420570264765784
250656119,5317090569,Welfare Road,Named corridor,0.0740274949083503
250652604,5101763227,Union Road,Named corridor,0.07329429735234215
5292542895,1918631522,Salt Pickers Roundabout,Named corridor,0.0732713849287169
4284485764,1927155728,Church Hill Roundabout,Named corridor,0.07251782077393075
271824219,5105924012,Middle Region Road,Named corridor,0.07250763747454175
271798683,271798686,Walter A. Nisbeth Road,Named corridor,0.07243380855397148
4284328380,271824171,Hulda B. Richardson Road,Named corridor,0.07238034623217922
4284401672,5105174611,A.T. Illidge Road,Named corridor,0.07237270875763747
271798681,271798682,Walter A. Nisbeth Road,Named corridor,0.07213594704684317
271798686,271798691,Walter A. Nisbeth Road,Named corridor,0.07212067209775967
323003133,271798676,Walter A. Nisbeth Road,Named corridor,0.07211558044806517
5101763227,5119424612,Union Road,Named corridor,0.07191191446028512
5105924012,4284327680,Middle Region Road,Named corridor,0.07182026476578411
271798691,5292542883,Walter A. Nisbeth Road,Named corridor,0.07180753564154786
5105174611,1639802300,A.T. Illidge Road,Named corridor,0.07145621181262729
5081711365,271824226,Middle Region Road,Named corridor,0.07120672097759674
1639802300,3656887982,A.T. Illidge Road,Named corridor,0.07112525458248473
1918631665,5102708796,Salt Pickers Roundabout,Named corridor,0.07093940936863544
5106586184,271824187,Middle Region Road,Named corridor,0.07080448065173116
1918631564,5292542895,Salt Pickers Roundabout,Named corridor,0.07074592668024439
271824187,271824183,Middle Region Road,Named corridor,0.07057026476578411
322994661,4283254280,Walter A. Nisbeth Road,Named corridor,0.07054226069246436
5119424612,250652602,Union Road,Named corridor,0.0705295315682281
271824226,3194083998,Middle Region Road,Named corridor,0.0705295315682281
271824183,271824180,Middle Region Road,Named corridor,0.07044551934826883
4283254280,1947705542,Walter A. Nisbeth Road,Named corridor,0.07024949083503054
3656887982,4284401913,A.T. Illidge Road,Named corridor,0.07020366598778004
1947705542,322994803,Walter A. Nisbeth Road,Named corridor,0.07015784114052953
271824180,3194084010,Middle Region Road,Named corridor,0.07010183299389001
4284327680,3194084000,Middle Region Road,Named corridor,0.07010183299389001
322994803,1703119667,Walter A. Nisbeth Road,Named corridor,0.0700661914460285
250652602,5100669105,Union Road,Named corridor,0.07004837067209775
4085224978,4284485794,L.B. Scott Road,Named corridor,0.07003818737270875
3194084010,271824177,Middle Region Road,Named corridor,0.06987780040733198
4284485794,1927340436,L.B. Scott Road,Named corridor,0.06984979633401221
271824177,4284401626,Middle Region Road,Named corridor,0.06965376782077393
1927340436,1840729270,L.B. Scott Road,Named corridor,0.06956466395112015
4284401626,1639802274,Middle Region Road,Named corridor,0.0695010183299389
3194084000,5105924015,Middle Region Road,Named corridor,0.06941446028513237
1840729270,1927300997,L.B. Scott Road,Named corridor,0.06937627291242363
4284401913,1639802302,A.T. Illidge Road,Named corridor,0.06928207739307535
1927300997,5292668974,L.B. Scott Road,Named corridor,0.06928207739307535
5100669105,5100669093,Union Road,Named corridor,0.06912169042769857
3194083998,4284327689,Middle Region Road,Named corridor,0.06894602851323829
5105924015,5081711365,Middle Region Road,Named corridor,0.06874236252545825
2669896558,303243569,Coralita Road,Named corridor,0.06871690427698574
5100669093,5111747793,Union Road,Named corridor,0.06865835030549898
1639802302,4284401944,A.T. Illidge Road,Named corridor,0.06836048879837067
271798676,323003133,Walter A. Nisbeth Road,Named corridor,0.06835030549898166
303243569,303243190,Coralita Road,Named corridor,0.06830448065173116
4284327689,4284327691,Middle Region Road,Named corridor,0.06826374745417516
1927300993,3704351470,A.J.C. Brouwersweg,Named corridor,0.06822301425661914
5111747793,5319009556,Union Road,Named corridor,0.06773167006109979
1840729288,1840729287,L.B. Scott Road,Named corridor,0.06766547861507127
1033359888,1927155345,Welfare Road,Named corridor,0.06765274949083502
250652602,5119424612,Union Road,Named corridor,0.06763747454175152
5082484557,5106586184,Middle Region Road,Named corridor,0.06751782077393075
5119424612,5101763227,Union Road,Named corridor,0.06749236252545825
4284401944,3656887993,A.T. Illidge Road,Named corridor,0.06744399185336049
5101763227,250652604,Union Road,Named corridor,0.06734725050916497
1791676268,5319059731,L.B. Scott Road,Named corridor,0.06733452138492871
5319009556,250652600,Union Road,Named corridor,0.0672683299389002
1927155345,1967799955,Welfare Road,Named corridor,0.06720468431771894
3704351470,271823363,A.J.C. Brouwersweg,Named corridor,0.06718940936863543
5319059731,4284485827,L.B. Scott Road,Named corridor,0.06683553971486761
1892258685,271824163,Hulda B. Richardson Road,Named corridor,0.0665376782077393
1639802300,5105174611,A.T. Illidge Road,Named corridor,0.0665376782077393
4284485827,1927340445,L.B. Scott Road,Named corridor,0.06646894093686354
5105174611,4284401672,A.T. Illidge Road,Named corridor,0.06643584521384928
303239543,4284485848,L.B. Scott Road,Named corridor,0.06641038696537678
271824167,1892258685,Hulda B. Richardson Road,Named corridor,0.06635947046843177
4284327691,271824160,Middle Region Road,Named corridor,0.06626272912423625
4284401672,4284401658,A.T. Illidge Road,Named corridor,0.06623217922606925
4284401658,5105174602,A.T. Illidge Road,Named corridor,0.06613034623217923
5105174602,1639802274,A.T. Illidge Road,Named corridor,0.0660285132382892
1927340445,4085224978,L.B. Scott Road,Named corridor,0.06601069246435845
1967799955,1967799965,Welfare Road,Named corridor,0.06586048879837067
4284485848,4284485847,L.B. Scott Road,Named corridor,0.06577902240325866
5317090569,250656118,Welfare Road,Named corridor,0.06571028513238289
250656118,250656114,Welfare Road,Named corridor,0.06559572301425662
1967799965,1967799912,Welfare Road,Named corridor,0.0655702647657841
5081711365,5105924015,Middle Region Road,Named corridor,0.0655549898167006
271824163,271824160,Hulda B. Richardson Road,Named corridor,0.06546843177189408
250652600,13076637177,Union Road,Named corridor,0.0653080448065173
1918722915,4284485758,Church Hill Roundabout,Named corridor,0.06529786150712831
4284485847,1791676268,L.B. Scott Road,Named corridor,0.06528513238289205
303247832,303247799,Union Road,Named corridor,0.06526731160896129
5105924015,3194084000,Middle Region Road,Named corridor,0.06520875763747454
3657008827,271824215,Middle Region Road,Named corridor,0.06496945010183298
3194084000,4284327680,Middle Region Road,Named corridor,0.06487780040733197
271824202,271824196,Middle Region Road,Named corridor,0.0647683299389002
3656887993,5106176819,A.T. Illidge Road,Named corridor,0.06469450101832994
303243190,303239543,Gladiola Road,Named corridor,0.06468686354378818
1967799912,1967799972,Welfare Road,Named corridor,0.06467922606924643
271824215,5106010104,Middle Region Road,Named corridor,0.06465885947046843
13076637177,303247832,Union Road,Named corridor,0.06437118126272912
5106010104,5081546080,Middle Region Road,Named corridor,0.06434826883910387
271824196,5082484557,Middle Region Road,Named corridor,0.0642337067209776
1927155728,1927300997,L.B. Scott Road,Named corridor,0.06407331975560081
4284327680,5105924012,Middle Region Road,Named corridor,0.06405040733197556
5081546080,271824212,Middle Region Road,Named corridor,0.0640427698574338
5105924012,271824219,Middle Region Road,Named corridor,0.06371945010183298
303239543,303243190,Gladiola Road,Named corridor,0.06368890020366598
1927300997,1840729270,L.B. Scott Road,Named corridor,0.06365835030549898
1840729287,1840729288,L.B. Scott Road,Named corridor,0.06363034623217922
1840729288,1840729290,L.B. Scott Road,Named corridor,0.0635539714867617
271798678,271798676,Walter A. Nisbeth Road,Named corridor,0.06353105906313646
250652600,5319009556,Union Road,Named corridor,0.06344704684317719
271824212,4284401900,Middle Region Road,Named corridor,0.06343177189409369
5319009556,5111747793,Union Road,Named corridor,0.06340122199592668
5106176819,3656887985,A.T. Illidge Road,Named corridor,0.06336558044806517
5111747793,5100669093,Union Road,Named corridor,0.06330957230142566
5100669093,5100669105,Union Road,Named corridor,0.06326374745417515
5100669105,250652602,Union Road,Named corridor,0.06317209775967413
4284401900,271824207,Middle Region Road,Named corridor,0.06313136456211813
5106176819,3656887993,A.T. Illidge Road,Named corridor,0.06292006109979632
1967799972,303246975,Welfare Road,Named corridor,0.06289714867617108
271824207,271824206,Middle Region Road,Named corridor,0.06284114052953156
1840729270,1927340436,L.B. Scott Road,Named corridor,0.06282841140529531
3656887985,5106176824,A.T. Illidge Road,Named corridor,0.0627520366598778
3656887993,4284401944,A.T. Illidge Road,Named corridor,0.06261456211812627
271824219,5106010107,Middle Region Road,Named corridor,0.06257892057026476
271824206,4284401679,Middle Region Road,Named corridor,0.06255091649694501
4284401944,1639802302,A.T. Illidge Road,Named corridor,0.06251272912423625
4284328380,1840737733,Hulda B. Richardson Road,Named corridor,0.062443991853360484
1639802302,4284401913,A.T. Illidge Road,Named corridor,0.06241598778004073
4284401913,3656887982,A.T. Illidge Road,Named corridor,0.06231924643584521
5106176824,5105271249,A.T. Illidge Road,Named corridor,0.06231160896130346
1840737733,271824167,Hulda B. Richardson Road,Named corridor,0.062301425661914454
4284401679,271824202,Middle Region Road,Named corridor,0.06227087576374745
5106010107,271824217,Middle Region Road,Named corridor,0.0622632382892057
3656887982,1639802300,A.T. Illidge Road,Named corridor,0.06222250509164969
271824217,3657008827,Middle Region Road,Named corridor,0.061952647657841135
5292359398,5292359408,Border Roundabout,Named corridor,0.061738798370672095
1927340436,4284485794,L.B. Scott Road,Named corridor,0.06116853360488798
271798681,271798678,Walter A. Nisbeth Road,Named corridor,0.060626272912423625
4284485794,4085224978,L.B. Scott Road,Named corridor,0.06033859470468431
4085224978,1927340445,L.B. Scott Road,Named corridor,0.06029531568228105
303246897,5317090570,Welfare Road,Named corridor,0.06017057026476578
3194083998,271824226,Middle Region Road,Named corridor,0.059882892057026474
271824226,5081711365,Middle Region Road,Named corridor,0.059541751527494906
3656887985,5106176819,A.T. Illidge Road,Named corridor,0.05876782077393075
271824171,4284328380,Hulda B. Richardson Road,Named corridor,0.05865071283095723
1927340445,4284485827,L.B. Scott Road,Named corridor,0.05862525458248472
1840729290,1840729288,L.B. Scott Road,Named corridor,0.058592158859470465
1791676268,4284485847,L.B. Scott Road,Named corridor,0.058370672097759674
2644100879,3412399576,Border Roundabout,Named corridor,0.05826374745417515
4284485847,4284485848,L.B. Scott Road,Named corridor,0.05784623217922607
271823363,1918722915,A.J.C. Brouwersweg,Named corridor,0.05783095723014256
1918704176,3674367971,Emmancipation Roundabout,Named corridor,0.057800407331975556
4284485848,303239543,L.B. Scott Road,Named corridor,0.05745926680244399
3412399576,5292359398,Border Roundabout,Named corridor,0.05724541751527495
4284485758,4284485764,Church Hill Roundabout,Named corridor,0.05696028513238289
4284485827,5319059731,L.B. Scott Road,Named corridor,0.05695519348268839
1918631578,1918631561,Salt Pickers Roundabout,Named corridor,0.05694501018329939
5319059731,1791676268,L.B. Scott Road,Named corridor,0.056435845213849284
5105271249,3656887996,A.T. Illidge Road,Named corridor,0.05621435845213849
271824160,4284327691,Middle Region Road,Named corridor,0.05567209775967413
1639802337,4284402192,A.T. Illidge Road,Named corridor,0.05551171079429735
3656887996,4284402192,A.T. Illidge Road,Named corridor,0.055343686354378814
4284402192,3656887996,A.T. Illidge Road,Named corridor,0.05533350305498981
3656887996,5105271249,A.T. Illidge Road,Named corridor,0.05518584521384928
5105271249,5106176824,A.T. Illidge Road,Named corridor,0.05511456211812627
5106176824,3656887985,A.T. Illidge Road,Named corridor,0.054908350305498975
303247832,13076637177,Union Road,Named corridor,0.05461812627291242
4284327691,4284327689,Middle Region Road,Named corridor,0.05461812627291242
13076637177,250652600,Union Road,Named corridor,0.0545366598778004
4284402192,1639802337,A.T. Illidge Road,Named corridor,0.05450356415478615
5292575722,271986646,Little Bay Roundabout,Named corridor,0.054483197556008146
5317090570,250656119,Welfare Road,Named corridor,0.05429735234215886
4284327689,3194083998,Middle Region Road,Named corridor,0.054282077393075355
303247799,5125906794,Union Road,Named corridor,0.0539918533604888
1918704173,1918704177,Emmancipation Roundabout,Named corridor,0.05395621181262729
2644100867,5111727119,Simpson Bay Roundabout,Named corridor,0.05384419551934826
271798682,271798681,Walter A. Nisbeth Road,Named corridor,0.05356924643584521
5125906794,2644100879,Union Road,Named corridor,0.053533604887983706
1111757746,1639802337,A.T. Illidge Road,Named corridor,0.05345468431771894
303248790,2535480166,Welfare Road,Named corridor,0.0527622199592668
2535480166,303246897,Welfare Road,Named corridor,0.05267057026476578
1918631561,271798691,Walter A. Nisbeth Road,Named corridor,0.05242871690427698
271798691,271798686,Walter A. Nisbeth Road,Named corridor,0.052232688391038694
271798686,271798683,Walter A. Nisbeth Road,Named corridor,0.0520366598778004
1639802337,1111757746,A.T. Illidge Road,Named corridor,0.051397657841140525
5292359408,5125906922,Simpson Bay Causeway,Named corridor,0.051262729124236246
12648620834,12648620831,A.T. Illidge Road,Named corridor,0.05090885947046843
1918704188,3674367969,Emmancipation Roundabout,Named corridor,0.05083248472505091
5125906922,5927198472,Unresolved multi-name edge,Residual road group,0.050799389002036656
1840729290,1840729293,L.B. Scott Road,Named corridor,0.05068228105906313
12648620831,1111757746,A.T. Illidge Road,Named corridor,0.05064409368635438
271986646,5292575116,Octavius L. Richardson Road,Named corridor,0.05036405295315682
5927198472,2644100867,Simpson Bay Causeway,Named corridor,0.050348778004073315
